State,National Park,Visitation,Total Recreation Visitor Hours
Oklahoma,Washita Battlefield NHS,"12,658","25,321"
Oregon,Crater Lake NP,"527,259","2,863,605"
Oregon,John Day Fossil Beds NM,"165,201","191,635"
Oregon,Lewis & Clark NHP,"279,924","405,928"
Oregon,Oregon Caves NM & PRES,"72,923","228,306"
Pennsylvania,Allegheny Portage Railroad NHS,"176,144","286,746"
Pennsylvania,Delaware Water Gap NRA,"1,270,265","5,311,370"
Pennsylvania,Edgar Allan Poe NHS,"10,726","10,726"
Pennsylvania,Eisenhower NHS,"22,250","35,600"
Pennsylvania,Flight 93 NMEM,"346,559","606,481"
Pennsylvania,Fort Necessity NB,"258,293","354,866"
Pennsylvania,Friendship Hill NHS,"16,395","39,529"
Pennsylvania,Gettysburg NMP,"764,576","3,154,421"
Pennsylvania,Hopewell Furnace NHS,"57,238","69,426"
Pennsylvania,Independence NHP,"2,688,302","4,054,270"
Pennsylvania,Johnstown Flood NMEM,"148,142","156,595"
Pennsylvania,Steamtown NHS,"71,232","94,659"
Pennsylvania,Thaddeus Kosciuszko NMEM,"1,680",420
Pennsylvania,Upper Delaware S&RR,"135,360","519,745"
Pennsylvania,Valley Forge NHP,"1,645,298","3,290,597"
Puerto Rico,San Juan NHS,"1,027,264","1,949,205"
Rhode Island,Roger Williams NMEM,"33,838","48,578"
South Carolina,Charles Pinckney NHS,"12,585","25,177"
South Carolina,Congaree NP,"204,522","905,268"
South Carolina,Cowpens NB,"212,534","191,020"
South Carolina,Fort Sumter and Fort Moultrie NHP,"385,472","892,518"
South Carolina,Kings Mountain NMP,"238,656","92,780"
South Carolina,Ninety Six NHS,"108,082","135,101"
South Carolina,Reconstruction Era NHP,"18,262","6,725"
South Dakota,Badlands NP,"1,006,809","4,297,631"
South Dakota,Jewel Cave NM,"119,343","332,595"
South Dakota,Minuteman Missile NHS,"105,776","88,398"
South Dakota,Missouri NRR,"133,162","133,162"
South Dakota,Mount Rushmore NMEM,"2,440,449","3,213,243"
South Dakota,Wind Cave NP,"607,418","1,880,036"
Tennessee,Andrew Johnson NHS,"52,873","25,382"
Tennessee,Big South Fork NRRA,"470,659","3,391,625"
Tennessee,Chickamauga & Chattanooga NMP,"482,136","935,925"
Tennessee,Fort Donelson NB,"183,638","122,350"
Tennessee,Great Smoky Mountains NP,"7,245,076","53,760,386"
Tennessee,Manhattan Project NHP,"10,546","12,130"
Tennessee,Natchez Trace PKWY,"850,659","3,433,561"
Tennessee,Obed W&SR,"306,502","1,317,101"
Tennessee,Shiloh NMP,"387,205","539,028"
Tennessee,Stones River NB,"417,791","549,524"
Texas,Alibates Flint Quarries NM,"7,520","18,801"
Texas,Amistad NRA,"912,283","6,775,408"
Texas,Big Bend NP,"514,107","9,332,836"
Texas,Big Thicket NPRES,"276,788","800,478"
Texas,Chamizal NMEM,"17,673","17,673"
Texas,Fort Davis NHS,"45,401","90,802"
Texas,Guadalupe Mountains NP,"219,987","612,493"
Texas,Lake Meredith NRA,"1,276,717","3,662,095"
Texas,Lyndon B. Johnson NHP,"87,386","266,779"
Texas,Padre Island NS,"531,624","3,872,044"
Texas,Palo Alto Battlefield NHP,"196,252","226,061"
Texas,Rio Grande W&SR,263,"56,010"
Texas,San Antonio Missions NHP,"1,238,920","1,706,257"
Texas,Waco Mammoth NM,"88,240","109,230"
Utah,Arches NP,"1,460,652","5,413,594"
Utah,Bryce Canyon NP,"2,354,660","12,544,211"
Utah,Canyonlands NP,"779,147","5,326,230"
Utah,Capitol Reef NP,"1,227,608","1,908,030"
Utah,Cedar Breaks NM,"688,644","1,450,190"
Utah,Dinosaur NM,"91,265","537,811"
Utah,Glen Canyon NRA,"1,967,965","22,713,542"
Utah,Golden Spike NHP,"49,042","116,498"
Utah,Hovenweep NM,"15,931","55,758"
Utah,Natural Bridges NM,"71,249","440,646"
Utah,Rainbow Bridge NM,81,81
Utah,Timpanogos Cave NM,"155,995","336,272"
Utah,Zion NP,"4,692,417","29,929,496"
Vermont,Marsh-Billings-Rockefeller NHP,"63,956","127,912"
Virgin Islands,Buck Island Reef NM,"45,365","259,427"
Virgin Islands,Christiansted NHS,"96,587","53,636"
Virgin Islands,Salt River Bay NHP & Ecological Pres,"12,155","28,857"
Virgin Islands,Virgin Islands NP,"196,752","1,210,027"
Virginia,Appomattox Court House NHP,"83,483","121,246"
Virginia,Arlington House The R.E. Lee MEM,"306,686","153,343"
Virginia,Assateague Island NS,"1,567,982","13,332,974"
Virginia,Blue Ridge PKWY,"5,970,181","37,155,666"
Virginia,Booker T. Washington NM,"20,396","22,672"
Virginia,Colonial NHP,"2,762,273","2,894,862"
Virginia,Cumberland Gap NHP,"51,306","120,762"
Virginia,Fredericksburg & Spotsylvania NMP,"756,296","357,034"
Virginia,George Washington Birthplace NM,"96,234","302,761"
Virginia,George Washington MEM PKWY,"7,397,120","9,553,036"
Virginia,LBJ Memorial Grove on the Potomac,"242,325","121,165"
Virginia,Maggie L. Walker NHS,"4,815","7,222"
Virginia,Manassas NBP,"532,727","399,544"
Virginia,Petersburg NB,"180,907","178,937"
Virginia,Prince William Forest Park,"294,916","3,349,004"
Virginia,Richmond NBP,"173,124","282,664"
Virginia,Shenandoah NP,"1,449,300","10,261,332"
Virginia,Theodore Roosevelt Island,"171,500","308,700"
Virginia,Wolf Trap NP for the Performing Arts,"445,497","1,781,988"
Washington,Fort Vancouver NHS,"964,318","992,732"
Washington,Klondike Gold Rush NHP Seattle,"60,423","105,740"
Washington,Lake Chelan NRA,"38,207","613,298"
Washington,Lake Roosevelt NRA,"1,128,725","4,404,492"
Washington,Manhattan Project NHP,"7,103","24,929"
Washington,Minidoka NHS,"8,746","17,492"
Washington,Mount Rainier NP,"1,622,395","20,235,496"
Washington,North Cascades NP,"30,154","563,931"
Washington,Olympic NP,"2,432,972","14,577,588"
Washington,Ross Lake NRA,"998,019","3,911,891"
Washington,San Juan Island NHP,"700,325","1,212,269"
Washington,Whitman Mission NHS,"52,000","52,000"
West Virginia,Bluestone NSR,"14,113","35,283"
West Virginia,Gauley River NRA,"163,510","975,572"
West Virginia,Harpers Ferry NHP,"407,008","1,628,032"
West Virginia,New River Gorge NP & PRES,"1,593,523","4,165,760"
Wisconsin,Apostle Islands NL,"254,952","844,620"
Wisconsin,Saint Croix NSR,"416,886","3,888,406"
Wyoming,Bighorn Canyon NRA,"100,123","425,729"
Wyoming,Devils Tower NM,"480,713","1,233,394"
Wyoming,Fort Laramie NHS,"39,657","59,486"
Wyoming,Fossil Butte NM,"17,879","27,176"
Wyoming,Grand Teton NP,"2,806,223","20,885,529"
Wyoming,"John D. Rockefeller, Jr. MEM PKWY","1,091,196","2,540,279"
Wyoming,Yellowstone NP,"1,612,219","43,274,682"
